OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Region,District,Grand,Commission,FarmBureau,Shape__Area,Shape__Length
44,47,145,1639785,47145,Roane,Roane County,6,H1,G4020,314,28940, ,A,934284686,88700776,35.8472486,-84.523942,3,32,East,2,3,11010168639,622486.7873
45,47,125,1639777,47125,Montgomery,Montgomery County,6,H1,G4020, ,17300, ,A,1396434035,12076781,36.5003535,-87.3808865,2,21,Middle,6,2,15161519662,570604.1485
46,47,79,1639755,47079,Henry,Henry County,6,H1,G4020, ,37540, ,A,1455159734,81742881,36.325295,-88.3002878,1,12,West,7,1,16542604999,636283.5382
47,47,43,1639740,47043,Dickson,Dickson County,6,H1,G4020,400,34980, ,A,1268824248,3689043,36.1455325,-87.3641546,2,21,Middle,6,2,13696204318,567912.0377
48,47,59,1639747,47059,Greene,Greene County,6,H1,G4020, ,24620, ,A,1611409748,5099752,36.179514,-82.8474854,4,42,East,1,5,17398776476,673214.7627
49,47,171,1648582,47171,Unicoi,Unicoi County,6,H1,G4020,304,27740, ,A,482151702,823118,36.1001262,-82.4182145,4,42,East,1,5,5198270069,401509.5686
50,47,31,1639735,47031,Coffee,Coffee County,6,H1,G4020, ,46100, ,A,1111007254,14482605,35.4887586,-86.0782188,2,22,Middle,5,3,12113840169,659403.6692
51,47,135,1639781,47135,Perry,Perry County,6,H1,G4020, , , ,A,1074197591,21034746,35.6637491,-87.8693294,1,12,Middle,7,2,11787889183,583188.4494
52,47,187,1639801,47187,Williamson,Williamson County,6,H1,G4020,400,34980, ,A,1508923180,3012752,35.8948446,-86.8978858,2,22,Middle,6,2,16272649382,678570.1301
53,47,35,1639736,47035,Cumberland,Cumberland County,6,H1,G4020, ,18900, ,A,1763849862,9823729,35.9523984,-84.9947614,3,31,East,2,4,19089756638,670899.4093
54,47,93,1639761,47093,Knox,Knox County,6,H1,G4020,314,28940, ,A,1316269093,45712672,35.9927265,-83.9377209,4,41,East,2,5,14658825721,743650.8417
55,47,29,1639734,47029,Cocke,Cocke County,6,H1,G4020,314,35460, ,A,1125399312,22117950,35.916198,-83.1192242,4,42,East,1,5,12350518113,633628.8031
56,47,67,1648577,47067,Hancock,Hancock County,6,H1,G4020, , , ,A,575820508,2984310,36.5214195,-83.2274526,4,41,East,1,5,6230442918,509483.8541
57,47,71,1639751,47071,Hardin,Hardin County,6,H1,G4020, , , ,A,1495279386,49111071,35.2018926,-88.1856958,1,12,West,7,1,16623997251,582207.7312
58,47,25,1639733,47025,Claiborne,Claiborne County,6,H1,G4020, , , ,A,1125581221,18090601,36.5015422,-83.6607217,4,41,East,1,5,12310667799,622680.5099
59,47,143,1639784,47143,Rhea,Rhea County,6,H1,G4020,174,19420, ,A,816823241,54463143,35.600587,-84.9495522,3,32,East,4,3,9377617009,577996.0331
60,47,133,1639780,47133,Overton,Overton County,6,H1,G4020, ,18260, ,A,1122721545,3492728,36.3448504,-85.2830756,3,31,Middle,3,4,12122166299,518588.5505
61,47,131,1639779,47131,Obion,Obion County,6,H1,G4020,362,46460, ,A,1411163263,27434034,36.3581714,-89.1498791,1,11,West,8,1,15484602225,613331.8168
62,47,147,1639786,47147,Robertson,Robertson County,6,H1,G4020,400,34980, ,A,1233581151,451691,36.5275304,-86.8693774,2,21,Middle,5,2,13283549327,564293.5416
63,47,189,1639802,47189,Wilson,Wilson County,6,H1,G4020,400,34980, ,A,1479053208,32002363,36.1484757,-86.2902097,2,21,Middle,5,2,16263680977,751909.4624
64,47,57,1648575,47057,Grainger,Grainger County,6,H1,G4020,314,28940, ,A,726729365,56637201,36.2774634,-83.5094926,4,41,East,1,5,8431698506,720109.8254
65,47,11,1639727,47011,Bradley,Bradley County,6,H1,G4020,174,17420, ,A,851489150,6959141,35.1539144,-84.8594137,3,32,East,4,3,9240584689,457624.0433
66,47,157,1639790,47157,Shelby,Shelby County,6,H1,G4020,368,32820, ,A,1977687718,55517852,35.1837942,-89.895397,1,11,West,9,1,21885787323,773836.0412
67,47,121,1639775,47121,Meigs,Meigs County,6,H1,G4020, , , ,A,505410612,55964031,35.5122029,-84.8161018,3,32,East,4,3,6042152463,604073.7425
68,47,103,1639766,47103,Lincoln,Lincoln County,6,H1,G4020, , , ,A,1477188735,971039,35.1429163,-86.5932976,2,22,Middle,5,2,15911430269,613258.6142
69,47,37,1639737,47037,Davidson,Davidson County,6,H6,G4020,400,34980, ,C,1304953365,56649279,36.1691287,-86.7847898,2,21,Middle,5,2,14655141626,685219.1738
70,47,7,1639725,47007,Bledsoe,Bledsoe County,6,H1,G4020, , , ,A,1052635798,838360,35.5936683,-85.205979,3,32,East,4,3,11338516196,570614.6517
71,47,183,1639799,47183,Weakley,Weakley County,6,H1,G4020,362,32280, ,A,1503105587,3709396,36.3033855,-88.7208026,1,11,West,8,1,16218603895,644451.221
72,47,117,1639771,47117,Marshall,Marshall County,6,H1,G4020,400,30280, ,A,972442312,1801922,35.4683433,-86.765865,2,22,Middle,5,2,10486021767,614252.6317
73,47,91,1639760,47091,Johnson,Johnson County,6,H1,G4020, , , ,A,772960232,11007740,36.4532029,-81.8612467,4,42,East,1,5,8438665330,513376.8525
74,47,155,1639789,47155,Sevier,Sevier County,6,H1,G4020,314,42940, ,A,1534562013,13491050,35.8018095,-83.5156955,4,41,East,2,5,16661388436,706833.9027
75,47,139,1639782,47139,Polk,Polk County,6,H1,G4020,174,17420, ,A,1125699133,19830460,35.1094371,-84.5411124,3,32,East,4,3,12330982175,480036.3745
76,47,77,1639754,47077,Henderson,Henderson County,6,H1,G4020, , , ,A,1346816702,15219341,35.6539945,-88.3876742,1,12,West,7,1,14659452883,545935.6291
77,47,109,1639774,47109,McNairy,McNairy County,6,H1,G4020, , , ,A,1457754835,1994987,35.175228,-88.5636295,1,12,West,9,1,15713048623,555780.4691
78,47,49,1639743,47049,Fentress,Fentress County,6,H1,G4020, , , ,A,1291397312,829331,36.3698878,-84.937764,3,31,Middle,3,4,13909233234,624977.2729
79,47,5,1639724,47005,Benton,Benton County,6,H1,G4020, , , ,A,1021248374,108583506,36.069253,-88.0712118,1,12,West,7,1,12160386719,654242.1254
80,47,137,1648580,47137,Pickett,Pickett County,6,H1,G4020, , , ,A,422113138,29822859,36.5593638,-85.075741,3,31,Middle,3,4,4864857219,483184.3654
81,47,51,1639744,47051,Franklin,Franklin County,6,H1,G4020, ,46100, ,A,1436108600,55079682,35.1559259,-86.0992032,2,22,Middle,5,3,16051583535,621280.0031
82,47,167,1639795,47167,Tipton,Tipton County,6,H1,G4020,368,32820, ,A,1187267190,38609225,35.5002588,-89.766803,1,11,West,9,1,13194282176,863670.4681
83,47,1,1639722,47001,Anderson,Anderson County,6,H1,G4020,314,28940, ,A,873292844,19724754,36.1167307,-84.1954177,4,41,East,2,5,9611584523,604849.251
84,47,15,1648572,47015,Cannon,Cannon County,6,H1,G4020,400,34980, ,A,687992438,156144,35.808394,-86.0624044,2,21,Middle,5,4,7406392962,425017.8377
85,47,33,1648574,47033,Crockett,Crockett County,6,H1,G4020,297,27180, ,A,687731416,529234,35.8187949,-89.1324936,1,11,West,8,1,7407592340,517966.2377
86,47,21,1639731,47021,Cheatham,Cheatham County,6,H1,G4020,400,34980, ,A,783308254,11964173,36.2551687,-87.1008077,2,21,Middle,6,2,8559827069,574460.9608
87,47,113,1639769,47113,Madison,Madison County,6,H1,G4020,297,27180, ,A,1442901132,3930429,35.6060563,-88.8334238,1,11,West,8,1,15572182234,533020.0928
88,47,45,1639741,47045,Dyer,Dyer County,6,H1,G4020, ,20540, ,A,1326939562,36775687,36.0528308,-89.4035903,1,11,West,8,1,14677591460,618888.8318
89,47,53,1639745,47053,Gibson,Gibson County,6,H1,G4020, , , ,A,1561106430,2341447,35.9916366,-88.9338103,1,11,West,8,1,16827200808,659707.3185
90,47,151,1639788,47151,Scott,Scott County,6,H1,G4020, , , ,A,1378656638,2414254,36.4352757,-84.5035281,4,41,East,2,4,14865784304,637518.7283
91,47,39,1639739,47039,Decatur,Decatur County,6,H1,G4020, , , ,A,864665743,28577041,35.6031362,-88.1102917,1,12,West,7,1,9613960570,558606.8064
92,47,119,1639772,47119,Maury,Maury County,6,H1,G4020,400,34980, ,A,1588021145,6319196,35.6156963,-87.0777632,2,22,Middle,6,2,17159794618,704708.4788
93,47,47,1639742,47047,Fayette,Fayette County,6,H1,G4020,368,32820, ,A,1825375542,3774866,35.1969933,-89.4138027,1,11,West,9,1,19689199678,573446.1379
94,47,63,1648576,47063,Hamblen,Hamblen County,6,H1,G4020,314,34100, ,A,417437888,37890940,36.2183967,-83.2660711,4,42,East,1,5,4900815185,487890.5612
95,47,101,1639765,47101,Lewis,Lewis County,6,H1,G4020, , , ,A,730608072,1031592,35.5232441,-87.4969827,2,22,Middle,6,2,7874693102,497279.2034
